degree,CV_MAE,CV_RMSE,CV_RMSE_std,CV_RMSE_95CI_low,CV_RMSE_95CI_high,CV_R2,folds,repeats,evaluations
1,17685.81,25773.41,2084.93,24956.12,26590.71,0.893,5,5,25
2,18238.9,27335.27,2236.92,26458.4,28212.14,0.8795,5,5,25
